t,s,i,i5,i15,x,zuse,va,zsales,y,e,ez,ey
2020,1,1,1,1,66813.70469351049,38504.16399823681,28309.54069527368,54241.66779776077,12572.036895749723,56458.9464892582,46538.940693115575,9920.00579614262
2020,1,2,1,2,220622.31312197103,80292.87868651317,140329.43443545786,212487.1025665347,8135.210555436257,60495.53748651399,52736.870016769906,7758.667469744085
2020,1,3,2,3,76129.74532177876,56724.09669016811,19405.64863161076,30365.79612350287,45763.94919827583,54915.72092637335,24641.771222239346,30273.949704134007
2020,1,4,2,3,3007.3943669596115,1681.8503538536108,1325.5440131060009,1558.6518596752765,1448.742507284332,2410.4638154211007,1236.16584573469,1174.2979696864104
2020,1,5,2,3,790.7313793218752,486.2250529651099,304.5063263567652,475.31538654866506,315.41599277320904,254.62041976405618,130.49780194582988,124.1226178182263
2020,1,6,2,3,9527.315243979147,6227.687673170083,3299.6275708090507,9176.660519942381,350.6547240367703,8607.635305120226,8261.331686216576,346.3036189036497
2020,1,7,2,3,17291.48532362179,9775.101432727302,7516.38389089452,13215.42504950691,4076.060274114907,14988.618710670402,11326.64326157826,3661.9754490921428
2020,1,8,3,4,12339.951577563581,9560.390601895007,2779.560975668563,9315.863073531144,3024.088504032434,10249.24033563903,7429.784515598444,2819.455820040585
2020,1,9,3,4,21201.098000669284,13490.598565262608,7710.49943540671,11251.701964398366,9949.396036270868,14246.97725167335,6649.317769909917,7597.659481763433
2020,1,10,2,3,9764.052924124251,6489.965734426765,3274.087189697459,7920.770761683179,1843.2821624410833,8708.250870731625,7093.949567036339,1614.301303695285
2020,1,11,3,3,13222.212350662474,8032.953878387575,5189.258472274902,12700.491046012108,521.7213046503629,12786.529539301646,12292.564330721056,493.96520858059023
2020,1,12,3,4,66426.94139048274,53839.94118835483,12587.000202128002,61954.261217067644,4472.680173415107,32581.390207079046,28528.265630960523,4053.124576118525
2020,1,13,3,4,11342.762919045384,7026.563535645893,4316.199383399524,6022.9496994975125,5319.813219547862,9633.975485278075,5346.406924177626,4287.568561100449
2020,1,14,3,4,11858.21792610551,6121.292424508141,5736.925501597379,6139.679982728098,5718.537943377396,7929.759988764447,4962.898706474174,2966.8612822902733
2020,1,15,3,4,18778.66592476589,12203.32860092344,6575.337323842427,9329.065929888175,9449.599994877684,16243.716895656285,7972.935996275616,8270.780899380668
2020,1,16,2,3,5282.553583702971,3096.5252632245156,2186.028320478463,2390.0276415278067,2892.525942175164,4490.132345273029,2219.2580230340504,2270.874322238979
2020,1,17,2,5,73948.18007160442,44720.473816278245,29227.70625532617,48993.489828633734,24954.690242970697,73490.69375103965,48993.47133697341,24497.22241406624
2020,1,18,2,6,323696.10976072977,224556.6152757736,99139.49448495677,167095.19579853548,156600.91396219417,322139.2810654591,166146.32555419698,155992.9555112621
2020,1,19,4,7,14723.156770419671,8592.274996967795,6130.88177345188,7184.9796293749,7538.1771410447745,14646.267758715838,7152.5937754803035,7493.673983235534
2020,1,20,4,7,97025.97474016812,45901.01665805475,51124.95808211341,57147.51946011776,39878.455280050366,82423.13824962267,47901.483322967244,34521.65492665543
2020,1,21,4,7,108469.90172601977,47848.81251089713,60621.08921512261,33512.20775060623,74957.69397541363,104522.6954644099,31514.722062238492,73007.97340217141
2020,1,22,4,8,57783.26330146381,29650.432881720673,28132.83041974309,16699.811620967466,41083.451680496306,49114.38952160089,12082.3160165378,37032.07350506309
2020,1,23,4,9,57814.920084273916,32673.065087696952,25141.854996576923,40844.67305845666,16970.24702581726,46931.324052555145,33182.28347760864,13749.040574946506
2020,1,24,4,9,6936.964580996084,3732.092311857007,3204.8722691390726,4837.660168348204,2099.3044126478744,6410.1573651809995,4410.033816681305,2000.1235484996944
2020,1,25,4,9,17101.544626761177,11491.50568702931,5610.038939731865,7826.804869518554,9274.739757242623,16822.23798393605,7615.146547218274,9207.091436717776
2020,1,26,4,9,46588.461432509124,22943.283206674565,23645.178225834487,31278.312118944283,15310.149313564865,44182.93332058178,29234.557791936626,14948.375528645156
2020,1,27,4,10,63515.20556288409,38419.99727301804,25095.20828986621,47383.14327757706,16132.062285307064,62506.35944034583,46809.32685782202,15697.032582523807
2020,1,28,4,11,174637.3951356458,67465.91539960551,107171.47973604027,117238.97181155175,57398.42332409427,170347.19319722938,113898.84047454323,56448.35272268614
2020,1,29,4,12,212508.54204955595,58169.928832051446,154338.61321750443,56972.11176173552,155536.43028782052,209194.00803861328,54923.86141885759,154270.1466197557
2020,1,30,4,12,280085.45048516215,129980.63776633005,150104.81271883228,243640.70461587017,36444.74586929211,268983.886631006,234897.71503365613,34086.171597349916
2020,1,31,5,13,125612.73780862014,51591.1277956821,74021.6100129381,17727.36081569613,107885.37699292427,125431.39928623787,17608.533352350678,107822.8659338872
2020,1,32,5,14,96414.17300281633,29704.067120754018,66710.10588206233,8590.034953593757,87824.1380492226,84907.09553711832,2871.3868811765283,82035.7086559418
2020,1,33,5,14,143358.42914647385,43297.568939578014,100060.8602068957,4344.7650744132,139013.66407206084,142907.45881716543,4148.10552770016,138759.35328946527
2020,1,34,5,15,63797.363844452426,39392.723977282345,24404.639867170026,30395.493684099725,33401.87016035269,61448.6183612016,29312.602257539136,32136.016103662467
2020,1,35,5,15,8682.216781135576,726.939330313363,7955.277450822214,808.0537360138172,7874.163045121739,8634.689734029322,780.8622591853508,7853.827474843972
2020,2,1,1,1,11044.69872279573,6224.950394413534,4819.748328382226,9176.005439137976,1868.6932836577594,9204.515681239174,8068.918729226737,1135.596952012437
2020,2,2,1,2,2284.8501323805885,1233.4651782952285,1051.3849540853612,1616.6548015673488,668.1953308132396,1361.853908542094,1056.0166959782102,305.83721256388355
2020,2,3,2,3,27244.24504229553,19449.73161504204,7794.513427253484,9886.063784323827,17358.181257971708,11263.308962109799,7348.033934491902,3915.2750276178967
2020,2,4,2,3,2157.2889378545647,1340.895992649794,816.3929452047712,1193.4929890853493,963.7959487692145,194.60925179569875,110.41779255909243,84.19145923660633
2020,2,5,2,3,675.7013557585014,468.8300953001957,206.87126045830564,351.8441230173148,323.8572327411864,31.208371904558817,20.05308496200686,11.155286942551957
